id,name,gender
1,Cordy,Male
2,Bordy,Male
6,Stanly,Male
7,Tore,Male
8,Krishna,Male
10,Thor,Male
14,Avery,Male
16,Siward,Male
19,Augy,Male
21,Prince,Male
24,Darnall,Male
25,Alfonse,Male
26,Graig,Male
28,Paddie,Male
30,Lemar,Male
32,Finley,Male
36,Anatole,Male
38,Gery,Male
39,Shawn,Male
47,Tedmund,Male
50,Adair,Male
51,Beale,Male
54,Kit,Male
57,Jodi,Male
59,Anton,Male
60,Sampson,Male
64,Richardo,Male
65,Ritchie,Male
67,Hendrik,Male
68,Francisco,Male
72,Kenn,Male
73,Giffer,Male
75,Fran,Male
76,Sascha,Male
81,Callean,Male
87,Jard,Male
89,Marco,Male
90,Cornall,Male
95,Emmett,Male
96,Theodore,Male
97,Louis,Male
98,Gorden,Male
99,Morly,Male
